Country,A great deal,A moderate amount,Only a little,Not at all,Don't know,Refused
South Africa,59.27428231,18.21747543,5.87197385,3.081756187,10.4289112,3.125601022
South Korea,69.95757217,20.71314943,3.107568629,0.267534904,4.384558497,1.56961637
Spain,74.63176944,11.79553742,3.040439309,1.060196875,7.106999696,2.365057264
Sri Lanka,70.33293906,11.60653675,4.402306295,2.279122199,7.461959278,3.917136418
Sweden,57.82487151,22.17728272,6.256064295,5.001076258,7.479913114,1.260792097
Switzerland,64.05886861,21.84862655,6.368589026,2.538866029,4.50449479,0.680554995
Taiwan,76.12850604,10.77150346,2.540164727,0.931532761,6.742604279,2.885688728
Tanzania,43.5251416,16.46053278,9.211574059,2.871562135,21.29202879,6.639160635
Thailand,54.22901656,20.87430081,7.129487484,1.264081703,14.59096866,1.912144785
Trinidad and Tobago,58.83886116,12.30582612,4.962298612,2.110673573,16.34062598,5.441714558
Tunisia,41.18652326,15.42585198,6.398216575,4.340634512,22.72067072,9.92810295
Turkey,62.87777244,11.95662525,3.86675811,3.08926924,13.17357898,5.035995983
United Arab Emirates,49.14236333,15.53973852,9.433873569,5.015965334,15.50875464,5.359304604
United Kingdom,64.59070865,18.95980799,4.622390672,3.780942143,6.86109425,1.185056297
United States,55.65021354,15.8341404,8.387131904,10.89112792,8.694729845,0.542656392
Uruguay,67.29686619,12.47468458,4.09510149,3.367093456,9.61055655,3.155697733
Uzbekistan,36.33247587,36.69456654,9.77616972,3.044755814,10.87397035,3.278061706
Vietnam,71.30255995,8.200916518,2.91268017,1.072506819,8.922942849,7.588393693
Yemen,23.38967679,12.88745977,8.622015963,8.92592662,40.61835448,5.55656637
Zambia,58.5766003,16.66892634,8.206886066,2.552231744,8.198212707,5.797142844
